aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
57100270,1991,2.167,8,0,0.578,0.915,0.866
57103869,1991,2,83,0,0.818,0.933,0.887
57111071,1995,3,107,1,0.705,0.941,0.919
57111786,1994,3.333,108,1,0.925,0.818,0.86
57118381,1996,3.25,106,1,0.657,0.947,0.832
57118943,1993,3,104,1,0.638,0.934,0.402
57120005,1996,3.833,111,1,0.979,0.916,0.833
57120371,1991,3.067,90,1,0.9,0.904,0.889
57121404,1993,3.667,118,1,0.88,0.924,0.96
57121476,1995,1.667,87,1,0.839,0.94,0.773
57123494,1993,0.857,81,1,0.537,0.943,0.682
57127241,1996,3,107,1,0.955,0.906,0.974
57129567,1996,1,103,1,0.911,0.935,0.926
57131909,1996,1.375,104,1,0.795,0.938,0.838
57133772,1996,3.75,111,1,0.924,0.913,0.782
57138056,1995,0.462,106,0,0.752,0.933,0.864
57139880,1996,3.143,119,1,0.904,0.903,0.878
57141051,1994,3.667,122,1,0.978,0.938,0.731
57141800,1996,2.833,100,1,0.713,0.924,0.859
57141919,1996,1,73,0,0.672,0.865,0.809
57145151,1994,4,115,1,0.661,0.919,0.777
57146734,1996,3,110,1,0.971,0.917,0.866
57154247,1992,3.364,107,1,0.721,0.909,0.743
57159952,1993,3.643,108,1,0.972,0.86,0.742
57160648,1992,2.125,107,0,0.774,0.919,0.767
57164981,1995,2.75,74,1,0.792,0.915,0.97
57165081,1994,2.917,75,1,0.687,0.962,0.951
57166463,1996,1.929,90,1,0.706,0.925,0.937
57167951,1995,4,106,1,0.797,0.943,0.986
57177419,1995,1.875,108,1,0.836,0.908,0.88
57178110,1996,3.125,104,1,0.785,0.958,0.822
57178982,1995,1.929,93,1,0.953,0.936,0.976
57186150,1993,3.4,116,1,0.972,0.86,0.742
57186582,1993,3.375,106,1,0.721,0.909,0.743
57192841,1994,3.412,120,1,0.638,0.934,0.402
57196641,1992,3,104,1,0.765,0.898,0.463
57199320,1993,2.214,95,1,0.864,0.937,1
57199896,1995,2.786,96,1,0.753,0.862,0.797
57203993,1994,1.75,100,1,0.631,0.897,0.879
