aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
57154247,1992,3.364,107,1,0.721,0.909,0.743,2.59155778120185
57160648,1992,2.125,107,0,0.774,0.919,0.767,2.59346687211094
57196641,1992,3,104,1,0.765,0.898,0.463,2.5921186440678
57214806,1992,1.667,98,1,0.883,0.903,0.823,2.59417257318952
57231300,1992,3.357,98,1,0.749,0.866,0.631,2.59156856702619
57232895,1992,2.375,116,1,0.935,0.843,0.804,2.59308166409861
57233403,1992,4,104,1,0.878,0.918,0.782,2.59057781201849
57242885,1992,3.643,116,1,0.785,0.958,0.822,2.59112788906009
57248884,1992,2.571,106,1,0.777,0.958,0.79,2.59277966101695
88202138,1992,2,81,1,0.563,0.921,0.895,2.5936594761171
88251811,1992,2.167,107,1,0.922,0.946,0.816,2.59340215716487
88268811,1992,1.556,79,1,0.669,0.915,0.812,2.59434360554699
90500516,1992,2.333,103,1,0.958,0.951,0.999,2.59314637904468
90500633,1992,3.571,120,1,0.987,0.918,0.747,2.59123882896764
90504142,1992,2.167,89,1,0.993,0.934,0.899,2.59340215716487
90506203,1992,3.25,103,1,0.914,0.873,0.857,2.59173343605547
90506286,1992,1.833,120,0,0.867,0.926,0.811,2.59391679506934
90546223,1992,3.308,114,1,0.983,0.938,0.955,2.59164406779661
90570222,1992,1.778,110,1,0.721,0.909,0.743,2.59400154083205
90570412,1992,3.833,115,1,0.839,0.916,0.832,2.59083513097072
90570655,1992,2.417,89,1,0.8,0.927,0.822,2.59301694915254
90571074,1992,0.636,73,0,0.776,0.961,0.84,2.59576117103236
90571319,1992,3.143,104,1,0.875,0.858,0.903,2.59189830508475
90571418,1992,3.625,119,1,0.875,0.858,0.903,2.59115562403698
90571461,1992,3,118,1,0.856,0.902,0.853,2.5921186440678
90572198,1992,2.357,90,1,0.921,0.938,0.836,2.5931093990755
90572282,1992,3.188,99,1,0.462,0.922,0.822,2.59182896764253
90572285,1992,2.588,83,1,0.744,0.94,0.936,2.59275346687211
90572369,1992,3.143,99,1,0.626,0.935,0.84,2.59189830508475
90572383,1992,2.714,104,1,0.699,0.949,0.921,2.5925593220339
90572393,1992,3.214,106,1,0.921,0.938,0.836,2.59178890600924
90572974,1992,3.273,96,1,0.529,0.949,0.781,2.59169799691834
90572984,1992,3.267,110,1,0.744,0.94,0.936,2.59170724191063
90572991,1992,2.714,79,0,0.921,0.938,0.836,2.5925593220339
90572998,1992,2.929,83,1,0.852,0.937,0.836,2.5922280431433
90573011,1992,1.571,102,1,0.703,0.92,0.843,2.59432049306626
90573897,1992,2.667,82,1,0.553,0.888,0.745,2.59263174114022
90573959,1992,3.357,108,1,0.934,0.948,0.79,2.59156856702619
90574307,1992,2.929,111,1,0.604,0.923,0.838,2.5922280431433
90574890,1992,2.286,110,1,0.846,0.914,0.824,2.593218798151
90575039,1992,1.7,104,1,0.84,0.908,0.776,2.59412172573189
90575263,1992,2.375,94,1,0.678,0.944,0.888,2.59308166409861
90575871,1992,2.867,119,1,0.564,0.931,0.991,2.59232357473035
90575873,1992,3.133,120,1,0.564,0.931,0.991,2.59191371340524
90575931,1992,3.111,85,1,0.9,0.914,0.941,2.59194761171032
90575948,1992,3.125,91,1,0.9,0.816,0.643,2.59192604006163
90576117,1992,2.643,102,1,0.711,0.94,0.792,2.5926687211094
90576142,1992,3.833,104,1,0.589,0.867,0.898,2.59083513097072
90576245,1992,3.071,114,1,0.792,0.915,0.97,2.5920092449923
90576320,1992,0.833,100,1,0.993,0.914,0.869,2.59545762711864
90576481,1992,1.917,122,0,0.887,0.884,0.815,2.5937873651772
90576754,1992,2.25,91,0,0.946,0.881,0.688,2.59327426810478
90576758,1992,0.833,87,0,0.819,0.921,0.725,2.59545762711864
90576837,1992,3.824,119,1,0.975,0.925,0.861,2.59084899845917
90576925,1992,1.25,102,1,0.846,0.889,0.858,2.59481510015408
90576942,1992,2,85,1,0.916,0.925,0.878,2.5936594761171
90577167,1992,2.8,100,1,0.56,0.911,0.876,2.59242681047766
90577256,1992,3.444,106,1,0.861,0.885,0.835,2.5914345146379
90577267,1992,2.25,81,0,0.56,0.911,0.876,2.59327426810478
90577322,1992,2.333,111,1,0.641,0.965,0.942,2.59314637904468
90577618,1992,2.154,75,1,0.872,0.867,0.821,2.59342218798151
90577712,1992,2.3,106,0,0.886,0.942,0.756,2.59319722650231
90577782,1992,3.364,107,1,0.714,0.936,0.82,2.59155778120185
90577852,1992,3.25,83,1,0.995,0.864,0.92,2.59173343605547
90578044,1992,3.25,106,1,0.9,0.921,0.804,2.59173343605547
90578076,1992,1.923,83,1,0.9,0.815,0.837,2.5937781201849
90578112,1992,2.5,106,1,0.889,0.937,0.893,2.59288906009245
90578198,1992,2.667,82,1,0.702,0.956,0.788,2.59263174114022
90578203,1992,1.857,79,1,0.745,0.906,0.798,2.59387981510015
90578487,1992,0.313,78,0,0.961,0.93,0.97,2.59625885978428
90578500,1992,0,75,0,0.777,0.955,0.834,2.59674114021572
90578505,1992,2.429,79,1,0.695,0.888,0.905,2.59299845916795
90578618,1992,3.2,110,1,0.557,0.948,0.921,2.59181047765793
90578880,1992,0.563,41,1,0.731,0.803,0.732,2.59587365177196
90578999,1992,3.75,110,1,0.678,0.945,0.893,2.59096302003082
90579230,1992,2.167,102,1,0.821,0.931,0.938,2.59340215716487
90579233,1992,1.4,91,1,0.791,0.86,0.995,2.59458397534669
90579270,1992,2.1,110,1,0.346,0.923,0.858,2.59350539291217
90619168,1992,3.938,111,1,0.928,0.958,0.93,2.59067334360555
90619861,1992,3.875,114,1,0.764,0.847,0.51,2.59077041602465
90636252,1992,2.929,114,1,0.896,0.893,0.923,2.5922280431433
90676053,1992,4,111,1,0.641,0.83,0.728,2.59057781201849
90676725,1992,2.182,86,0,0.458,0.961,0.907,2.59337904468413
90678178,1992,1.917,118,1,0.782,0.918,0.841,2.5937873651772
90678671,1992,3,106,1,0.727,0.846,0.882,2.5921186440678
91500014,1992,3.867,119,1,0.988,0.928,0.922,2.59078274268105
91500119,1992,2.167,85,0,0.839,0.916,0.832,2.59340215716487
91500186,1992,3.571,107,1,0.992,0.917,0.759,2.59123882896764
91504341,1992,2.286,71,1,0.959,0.974,0.826,2.593218798151
91504686,1992,2.417,110,1,0.654,0.873,0.753,2.59301694915254
91506935,1992,2.789,103,1,0.98,0.93,0.9,2.5924437596302
91506944,1992,3.25,99,1,0.916,0.925,0.878,2.59173343605547
91507116,1992,3.167,110,1,0.612,0.957,0.922,2.59186132511556
91508123,1992,3.917,118,1,0.875,0.897,0.907,2.59070570107858
91508387,1992,1.286,75,1,0.697,0.706,0.728,2.59475963020031
91508836,1992,2.583,116,1,0.941,0.925,0.904,2.59276117103236
91508873,1992,2.273,115,1,0.828,0.853,0.843,2.59323882896764
91570110,1992,2.571,106,1,0.722,0.906,0.67,2.59277966101695
91570187,1992,1.143,93,1,0.965,0.932,0.696,2.59497996918336
91570614,1992,2.75,108,1,0.701,0.873,0.906,2.59250385208012
91570928,1992,3.5,95,1,0.913,0.922,0.836,2.59134822804314
91571155,1992,2,107,1,0.913,0.922,0.833,2.5936594761171
91571214,1992,1.286,102,1,0.604,0.961,0.908,2.59475963020031
91571610,1992,2,102,1,0.875,0.858,0.903,2.5936594761171
91571706,1992,2.286,91,1,0.527,0.928,0.857,2.593218798151
91571807,1992,2.625,93,1,0.758,0.907,0.901,2.59269645608629
91572145,1992,2.5,90,1,0.936,0.939,0.737,2.59288906009245
91572292,1992,3.364,118,1,0.921,0.938,0.836,2.59155778120185
91572369,1992,2.786,106,1,0.787,0.931,0.824,2.59244838212635
91572408,1992,0.867,104,1,0.814,0.829,0.84,2.59540523882897
91572981,1992,0.875,104,1,0.744,0.94,0.936,2.59539291217257
91572999,1992,3.5,120,1,0.921,0.938,0.836,2.59134822804314
91573253,1992,2.333,115,1,0.941,0.952,0.859,2.59314637904468
91573259,1992,2.643,112,1,0.962,0.917,0.847,2.5926687211094
91573419,1992,1.667,120,1,0.732,0.912,0.905,2.59417257318952
91573956,1992,2.455,95,1,0.892,0.938,0.908,2.59295839753467
91573958,1992,4,120,1,0.89,0.915,0.964,2.59057781201849
91574308,1992,3.167,119,1,0.621,0.926,0.917,2.59186132511556
91574399,1992,3.167,90,1,0.866,0.905,0.763,2.59186132511556
91574816,1992,2.929,81,1,0.865,0.942,0.893,2.5922280431433
91574916,1992,0.643,77,0,0.757,0.916,0.854,2.59575038520801
91575315,1992,2,107,1,0.708,0.898,0.922,2.5936594761171
91575394,1992,3.5,119,1,0.767,0.901,0.899,2.59134822804314
91575931,1992,3,120,1,0.827,0.946,0.858,2.5921186440678
91575948,1992,3.75,114,1,0.828,0.955,0.914,2.59096302003082
91576163,1992,3.5,116,1,0.919,0.928,0.811,2.59134822804314
91576556,1992,2.643,115,1,0.631,0.897,0.879,2.5926687211094
91576561,1992,1.846,104,1,0.878,0.918,0.782,2.5938967642527
91576611,1992,1.857,98,1,0.929,0.87,0.875,2.59387981510015
91576910,1992,3.214,104,1,0.963,0.943,0.805,2.59178890600924
91577183,1992,2.667,102,1,0.815,0.959,0.902,2.59263174114022
91577313,1992,4,77,1,0.78,0.919,0.958,2.59057781201849
91577557,1992,1.333,83,1,0.998,0.857,0.897,2.59468721109399
91577923,1992,3.071,104,1,0.755,0.9,0.777,2.5920092449923
91578060,1992,2.833,102,1,0.972,0.951,0.833,2.59237596302003
91578116,1992,2.429,90,1,0.901,0.843,0.756,2.59299845916795
91578268,1992,4,107,1,0.806,0.894,0.85,2.59057781201849
91578314,1992,3.167,93,1,0.901,0.843,0.756,2.59186132511556
91578315,1992,1.933,106,1,0.901,0.843,0.756,2.59376271186441
91578342,1992,2,103,1,0.899,0.882,0.79,2.5936594761171
91578747,1992,1.25,87,1,0.903,0.948,0.868,2.59481510015408
91579175,1992,2.1,104,1,0.836,0.948,0.83,2.59350539291217
91579968,1992,2.692,118,1,0.718,0.943,0.932,2.59259322033898
91608476,1992,3.167,108,1,0.727,0.846,0.882,2.59186132511556
